snapshot_date;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2023;80990;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;101290;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;100690;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2023;109890;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass limited 1.3;2021;2022;136990;compass limited 1.3 gasolina/etanol automático
2025-08-24;sedan;chevrolet;onix;onix plus lt mt 1.0 4p;2022;2023;69390;onix sedan plus lt mec 1.0 4p gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2022;2023;82290;onix sedan plus ltz 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2023;57290;mobi like 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;103290;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo comfortline 1.0;2024;2025;104990;polo comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2022;2022;136190;compass longitude 1.3 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;103290;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;citroen;c3;c3 live pack 1.0;2023;2023;65290;c3 live pack 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;81590;polo track 1.0 gasolina/etanol manual
2025-08-24;minivan;chevrolet;spin;spin premier 7l 1.8;2024;2025;134190;spin premier 7l 1.8 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;82690;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77790;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo 1.0;2024;2025;78890;argo 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;compass;compass longitude 1.3;2022;2023;143690;compass longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2023;81090;polo 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;taos;taos comfortline 1.4;2023;2023;144390;taos comfortline 1.4 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2024;2025;70490;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;80490;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;76290;argo drive 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;101690;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0 12v turbo flex 4p c/ar - automático;2024;2025;114890;tracker lt 1.0 12v turbo flex 4p c/ar - automático gasolina/etanol automatico
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77490;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;81290;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus tgdi flex at 1.0;2024;2025;92190;hb20 comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2024;2025;64890;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2024;2025;75090;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;77790;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;renault;duster;duster intense plus flex 1.6;2024;2025;114990;duster intense plus flex 1.6 gasolina/etanol manual
2025-08-24;suv;renault;duster;duster intense plus flex 1.6;2024;2025;116490;duster intense plus flex 1.6 gasolina/etanol manual
2025-08-24;suv;hyundai;creta;creta comfort plus tgdi flex at 1.0;2024;2025;130490;creta comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;equinox;equinox rs turbo at 1.5;2022;2023;161390;equinox rs turbo at 1.5 gasolina automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus flex 1.0;2024;2025;85790;hb20s comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;78190;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker ltz 1.0;2024;2025;134590;tracker ltz 1.0 gasolina/etanol automático
2025-08-24;suv;hyundai;creta;creta comfort plus tgdi flex at 1.0;2024;2025;128790;creta comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2023;69290;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;78090;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2024;2025;74390;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;158890;compass longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix premier ii 1.0;2024;2025;110890;onix hatch premier ii 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;83990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;113090;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus tgdi flex at 1.0;2024;2025;92190;hb20 comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;citroen;c3 aircross;c3 aircross feel pack turbo flex at 1.0;2024;2025;110890;c3 aircross feel pack turbo flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;75890;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;81890;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;77890;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2023;102590;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;114490;tracker lt 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;104090;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross highline 1.4;2022;2023;129490;t-cross highline 1.4 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;81490;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;pick-up;chevrolet;montana;montana ltz turbo flex at 1.2;2024;2025;132790;montana ltz turbo flex at 1.2 gasolina/etanol automático
2025-08-24;pick-up;volkswagen;saveiro;saveiro robust 1.6;2023;2023;73390;saveiro robust 1.6 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;79290;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 limited plus flex 1.0;2024;2025;82690;hb20 limited plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus lt 1.0;2022;2023;86590;onix sedan plus lt 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;taos;taos highline 1.4;2023;2023;154590;taos highline 1.4 gasolina/etanol automático
2025-08-24;pick-up;volkswagen;saveiro;saveiro robust 1.6;2023;2023;73390;saveiro robust 1.6 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;100690;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;79590;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo comfortline 1.0;2024;2025;101290;polo comfortline 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;104890;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;77490;polo track 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;101590;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;taos;taos highline 1.4;2023;2023;155190;taos highline 1.4 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;81690;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77890;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;115590;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2024;2025;62990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;75890;polo track 1.0 gasolina/etanol manual
2025-08-24;minivan;chevrolet;spin;spin premier 7l 1.8;2024;2025;132790;spin premier 7l 1.8 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2024;2025;63890;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;79690;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus tgdi flex at 1.0;2024;2025;95190;hb20 comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;hyundai;creta;creta comfort plus tgdi flex at 1.0;2024;2025;134290;creta comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo highline 1.0;2024;2025;114290;polo highline 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;102590;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo comfortline 1.0;2024;2025;105590;polo comfortline 1.0 gasolina/etanol automático
2025-08-24;picape cabine dupla;renault;oroch;duster oroch pro sce mt 1.6 4p;2022;2023;89790;duster oroch pro sce mec 1.6 4p gasolina/etanol manual
2025-08-24;hatch;renault;kwid;kwid zen 1.0 12v sce flex 4p c/ar;2024;2025;60690;kwid zen 1.0 12v sce flex 4p c/ar gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;100690;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross highline 1.4;2022;2023;135190;t-cross highline 1.4 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;75290;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2024;2025;65090;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;76890;polo track 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;159990;compass longitude 1.3 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;152190;compass longitude 1.3 gasolina/etanol automático
2025-08-24;suv;hyundai;creta;creta comfort plus tgdi flex at 1.0;2024;2025;127690;creta comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;158290;compass longitude 1.3 gasolina/etanol automático
2025-08-24;pick-up;volkswagen;saveiro;saveiro robust 1.6;2023;2023;76490;saveiro robust 1.6 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;101690;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;158390;compass longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;81290;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;79090;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;73490;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2024;2025;65590;mobi like 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus lt 1.0;2022;2023;71090;onix sedan plus lt 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;157490;compass longitude 1.3 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;116990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;pick-up;chevrolet;montana;montana lt turbo flex 1.2;2023;2023;108690;montana lt turbo flex 1.2 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;102190;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;76490;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus tgdi flex at 1.0;2024;2025;93990;hb20 comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;76890;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77190;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;156090;compass longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2024;2025;73990;argo drive 1.0 gasolina/etanol manual
2025-08-24;minivan;chevrolet;spin;spin premier 7l 1.8 8v econoflex 4p c/ar - automático;2024;2025;139590;spin premier 7l 1.8 8v econoflex 4p c/ar - automático gasolina/etanol automatico
2025-08-24;suv;chevrolet;tracker;tracker ltz 1.0;2024;2025;135990;tracker ltz 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2024;2025;153490;compass longitude 1.3 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0 12v turbo flex 4p c/ar - automático;2024;2025;115690;tracker lt 1.0 12v turbo flex 4p c/ar - automático gasolina/etanol automatico
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;116990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;114790;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;taos;taos comfortline 1.4;2023;2023;143090;taos comfortline 1.4 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;77490;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;76090;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2024;2025;79390;onix hatch lt 1.0 12v flex 4p c/ar gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2023;116190;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo 1.0 6v flex 4p c/ar;2024;2025;79190;argo 1.0 6v flex 4p c/ar gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross highline 1.4;2022;2023;132090;t-cross highline 1.4 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;104490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;pick-up;chevrolet;montana;montana ltz turbo flex at 1.2;2024;2025;133490;montana ltz turbo flex at 1.2 gasolina/etanol automático
2025-08-24;suv;chevrolet;equinox;equinox rs turbo at 1.5;2022;2023;161190;equinox rs turbo at 1.5 gasolina automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77790;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;117090;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo 1.0;2024;2025;77990;argo 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;104490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;hyundai;creta;creta comfort plus tgdi flex at 1.0;2024;2025;128790;creta comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;pick-up;chevrolet;montana;montana ltz turbo flex at 1.2;2024;2025;131190;montana ltz turbo flex at 1.2 gasolina/etanol automático
2025-08-24;suv;fiat;pulse;pulse drive 1.3;2023;2023;95090;pulse drive 1.3 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;79390;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2025;77490;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;renault;kwid;kwid zen 1.0;2024;2025;60390;kwid zen 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo comfortline 1.0;2024;2025;106590;polo comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2024;2025;79390;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2022;2023;55490;mobi like 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;115990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;76490;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;101090;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;minivan;chevrolet;spin;spin premier 7l 1.8;2024;2025;134190;spin premier 7l 1.8 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2024;2025;118290;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;compass;compass longitude 1.3;2023;2023;143890;compass longitude 1.3 gasolina/etanol automático
2025-08-24;pick-up;chevrolet;montana;montana ltz turbo flex at 1.2;2024;2025;131090;montana ltz turbo flex at 1.2 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77790;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2024;2025;104090;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
